Michael Kelly,271
Zac Efron,272
Michael Sheen,273
Carey Mulligan,274
Johnny Simmons,275
Jack Nicholson,276
Selma Blair,277
Josh Hutcherson,278
Brendan Gleeson,279
Teresa Palmer,280
Abbie Cornish,281
Gwyneth Paltrow,282
Alison Pill,283
Matthew Goode,284
Thomas Kretschmann,285
Rooney Mara,286
Sharlto Copley,287
Martin Freeman,288
Zoe Saldana,289
Chris Rock,290
Jeremy Irons,291
John Goodman,292
Richard Griffiths,293
Bill Murray,294
Alyson Hannigan,295
David Wenham,296
Mary Elizabeth Winstead,297
Josh Lucas,298
Lena Headey,299
Jena Malone,300
Donald Sutherland,301
Ben Kingsley,302
Scott Glenn,303
Bryan Cranston,304
Billy Burke,305
Orlando Bloom,306
Keri Russell,307
Jesse Eisenberg,308
John Hurt,309
Javier Bardem,310
Brian Cox,311
David Strathairn,312
Anna Faris,313
Maggie Grace,314
Georgie Henley,315
Jonathan Rhys Meyers,316
Jennifer Love Hewitt,317
Justin Long,318
Jaden Smith,319
Dominic Purcell,320
Gena Rowlands,321
Mary-Louise Parker,322
Dwight Yoakam,323
Tom Hiddleston,324
Franka Potente,325
Rebecca Hall,326
Mia Wasikowska,327
Freddie Highmore,328
Andy Serkis,329
Jack Black,330
Jordi Mollà,331
Alex Pettyfer,332
Luis Guzmán,333
Vinnie Jones,334
Kiefer Sutherland,335
Alan Tudyk,336
Skandar Keynes,337
Bridget Moynahan,338
Olga Kurylenko,339
Kris Kristofferson,340
Michael Douglas,341
John Hannah,342
Terrence Howard,343
François Berléand,344
Paul Rudd,345
Amber Heard,346
Michelle Rodriguez,347
Gemma Arterton,348
Hiroyuki Sanada,349
Ian McShane,350
Ed Helms,351
Matthew Perry,352
Samy Naceri,353
Sebastian Stan,354
Michael Cera,355
Ellen Page,356
Cillian Murphy,357
James Cromwell,358
Elizabeth Banks,359
Frédéric Diefenthal,360
N/A,361
Hilary Swank,362
Famke Janssen,363
Rob Schneider,364
Alice Eve,365
John Turturro,366
Alan Arkin,367
Michael Ealy,368
Sarah Polley,369
Alec Baldwin,370
Ellen Burstyn,371
David Kelly,372
Elisabeth Shue,373
Bryce Dallas Howard,374
Charlotte Gainsbourg,375
Jet Li,376
Ridley Scott,377
Robert Rodriguez,378
Michael Bay,379
Christopher Nolan,380
Paul W.S. Anderson,381
Brett Ratner,382
Peter Jackson,383
Quentin Tarantino,384
Steven Spielberg,385
Steven Soderbergh,386
Martin Scorsese,387
Tim Burton,388
Ron Howard,389
David Fincher,390
Gore Verbinski,391
Danny Boyle,392
Mark Waters,393
Woody Allen,394
Frank Coraci,395
Roland Emmerich,396
Shawn Levy,397
Sam Raimi,398
Zack Snyder,399
Edgar Wright,400
Darren Aronofsky,401
M. Night Shyamalan,402
N/A,403
Francis Lawrence,404
Lars von Trier,405
James Mangold,406
Todd Phillips,407
Clint Eastwood,408
Peter Segal,409
Guy Ritchie,410
Dennis Dugan,411
Robert Schwentke,412
J.J. Abrams,413
Gérard Krawczyk,414
Joe Wright,415
D.J. Caruso,416
Bryan Singer,417
Robert Luketic,418
Marc Forster,419
James Wan,420
Kevin Smith,421
David Yates,422
Alfonso Cuarón,423
Jon Turteltaub,424
Justin Lin,425
Joel Coen,426
Doug Liman,427
Ethan Coen,428
Guillermo del Toro,429
Tony Scott,430
Louis Leterrier,431
Antoine Fuqua,432
Garry Marshall,433
Lasse Hallström,434
Adam Shankman,435
Donald Petrie,436
Nancy Meyers,437
Oliver Stone,438
Matt Reeves,439
Nick Cassavetes,440
Andrew Niccol,441
Wes Craven,442
Alejandro González Iñárritu,443
Simon West,444
McG,445
Andy Wachowski,446
Lana Wachowski,447
Mikael Håfström,448
Sylvester Stallone,449
Rob Marshall,450
Len Wiseman,451
Neil Burger,452
Joel Schumacher,453
Sam Mendes,454
Peter Berg,455
Mark Neveldine,456
Stephen Daldry,457
Gary Winick,458
Jon Favreau,459
Chris Columbus,460
Iain Softley,461
Eli Roth,462
Tom Tykwer,463
Stephen Sommers,464
Paul McGuigan,465
Dominic Sena,466
Rob Cohen,467
Joe Carnahan,468
Luc Besson,469
Marc Webb,470
Jaume Collet-Serra,471
Baz Luhrmann,472
Matthew Vaughn,473
Jon M. Chu,474
David R. Ellis,475
Allen Hughes,476
Ang Lee,477
Edward Zwick,478
Paul Greengrass,479
David Twohy,480
Alexandre Aja,481
Brian Taylor,482
David Dobkin,483
Scott Derrickson,484
David O. Russell,485
Anne Fletcher,486
Darren Lynn Bousman,487
